,state,composite17,composite18,composite19
0,Alabama,19.2,19.1,18.9
1,Alaska,19.8,20.8,20.1
2,Arizona,19.7,19.2,19.0
3,Arkansas,19.4,19.4,19.3
4,California,22.8,22.7,22.6
5,Colorado,20.8,23.9,23.8
6,Connecticut,25.2,25.6,25.5
7,Delaware,24.1,23.8,24.1
8,Florida,19.8,19.9,20.1
9,Georgia,21.4,21.4,21.4
10,Hawaii,19.0,18.9,19.0
11,Idaho,22.3,22.3,22.5
12,Illinois,21.4,23.9,24.3
13,Indiana,22.6,22.5,22.5
14,Iowa,21.9,21.8,21.6
15,Kansas,21.7,21.6,21.2
16,Kentucky,20.0,20.2,19.8
17,Louisiana,19.5,19.2,18.8
18,Maine,24.3,24.0,24.3
19,Maryland,23.6,22.5,22.3
20,Massachusetts,25.4,25.5,25.5
21,Michigan,24.1,24.2,24.4
22,Minnesota,21.5,21.3,21.4
23,Mississippi,18.6,18.6,18.4
24,Missouri,20.4,20.0,20.8
25,Montana,20.3,20.0,19.8
26,Nebraska,21.4,20.1,20.0
27,Nevada,17.8,17.7,17.9
28,New Hampshire,25.5,25.1,25.0
29,New Jersey,23.9,23.7,24.2
30,New Mexico,19.7,19.4,19.3
31,New York,24.2,24.5,24.5
32,North Carolina,19.1,19.1,19.0
33,North Dakota,20.3,20.3,19.9
34,Ohio,22.0,20.3,20.0
35,Oklahoma,19.4,19.3,18.9
36,Oregon,21.8,21.3,21.1
37,Pennsylvania,23.7,23.5,23.6
38,Rhode Island,24.0,24.2,24.7
39,South Carolina,18.7,18.3,18.8
40,South Dakota,21.8,21.9,21.6
41,Tennessee,19.8,19.6,19.4
42,Texas,20.7,20.7,20.5
43,Utah,20.3,20.4,20.3
44,Vermont,23.6,24.1,24.1
45,Virginia,23.8,23.9,24.0
46,Washington,21.9,22.2,22.1
47,West Virginia,20.4,20.3,20.8
48,Wisconsin,20.5,20.5,20.3
49,Wyoming,20.2,20.0,19.8
