,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,60,6,0.0,13517,1,0,2,1,1,3,1,23,6,3,1,4,6,8,1976,2005,2,1,7,10,2,289.0,4,3,2,3,3,1,6,533.0,1,0.0,192.0,725.0,1,5,1,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0,2.0,1976.0,2,2.0,475.0,3,3,3,0,44,0,0,0,0,0,0,3,2010,WD ,130500
1,60,6,43.0,11492,1,0,2,1,1,3,1,24,3,3,1,4,7,5,1996,1997,2,1,13,13,2,132.0,4,3,3,4,3,1,6,637.0,1,0.0,276.0,913.0,1,5,1,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,3,2.0,1997.0,2,2.0,559.0,3,3,3,0,74,0,0,0,0,0,0,4,2009,WD ,220000
2,20,6,68.0,7922,1,0,3,1,1,1,1,16,3,3,1,1,5,7,1953,2007,2,1,13,13,3,0.0,3,4,2,3,3,1,6,731.0,1,0.0,326.0,1057.0,1,3,1,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,6.0,1953.0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,0,1,2010,WD ,109000
3,60,6,73.0,9802,1,0,3,1,1,1,1,27,3,3,1,4,5,5,2006,2007,2,1,13,13,3,0.0,3,3,3,4,3,1,1,0.0,1,0.0,384.0,384.0,1,4,1,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,0,4.0,2007.0,3,2.0,400.0,3,3,3,100,0,0,0,0,0,0,0,4,2010,WD ,174000
4,50,6,82.0,14235,1,0,2,1,1,1,1,24,3,3,1,2,6,8,1900,1993,2,1,14,10,3,0.0,3,3,3,2,4,1,1,0.0,1,0.0,676.0,676.0,1,3,1,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,0,6.0,1957.0,1,2.0,484.0,3,3,1,0,59,0,0,0,0,0,0,3,2010,WD ,138500
5,20,6,137.0,16492,1,0,2,1,1,2,1,16,4,3,1,1,6,6,1966,2002,2,1,4,10,3,0.0,4,3,2,3,3,1,5,247.0,3,713.0,557.0,1517.0,1,5,1,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,4,2.0,1966.0,3,2.0,578.0,3,3,3,0,0,0,0,0,0,0,0,6,2010,WD ,190000
6,180,8,35.0,3675,1,0,3,1,1,1,1,8,3,3,5,7,6,5,2005,2006,2,1,13,13,2,82.0,3,3,3,4,3,4,6,547.0,1,0.0,0.0,547.0,1,4,1,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,0,3.0,2005.0,3,2.0,525.0,3,3,3,0,44,0,0,0,0,0,0,6,2006,New,140000
7,20,6,0.0,12160,1,0,2,1,1,1,1,16,3,3,1,1,5,5,1959,1959,4,1,10,10,2,180.0,3,3,2,3,3,1,3,1000.0,1,0.0,188.0,1188.0,1,2,1,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,0,2.0,1959.0,2,2.0,531.0,3,3,3,0,0,0,0,0,3,0,0,5,2010,COD,142000
8,20,6,0.0,15783,1,0,3,1,1,1,1,21,1,3,1,1,5,5,1952,1952,2,1,14,14,3,0.0,3,3,2,3,3,1,3,292.0,1,0.0,632.0,924.0,1,3,1,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,0,6.0,1952.0,1,1.0,420.0,3,3,3,0,324,0,0,0,3,2,400,6,2007,WD ,112500
9,60,6,70.0,11606,1,0,2,3,1,1,3,16,3,3,1,4,5,5,1969,1969,2,1,10,10,2,192.0,3,3,3,4,3,3,3,650.0,1,0.0,390.0,1040.0,1,3,1,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,3,2.0,1969.0,1,2.0,504.0,3,3,3,335,0,0,0,0,0,0,0,9,2007,WD ,135000
10,160,8,21.0,1680,1,0,3,1,1,1,1,3,3,3,4,4,6,5,1971,1971,2,1,7,7,2,232.0,3,3,2,3,3,1,5,387.0,1,0.0,96.0,483.0,1,3,1,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,0,6.0,1971.0,1,1.0,264.0,3,3,3,0,0,0,0,0,0,0,0,7,2008,COD,85400
11,20,6,64.0,7488,1,0,2,1,1,1,1,6,3,3,1,1,7,5,2005,2005,2,1,13,13,3,0.0,4,3,3,4,3,3,6,393.0,1,0.0,815.0,1208.0,1,5,1,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,0,2.0,2005.0,2,2.0,632.0,3,3,3,105,58,0,0,0,0,0,0,2,2006,WD ,183600
12,70,6,120.0,26400,1,0,3,2,1,4,1,24,2,3,1,4,5,7,1880,2007,2,1,7,7,3,0.0,4,3,3,0,0,0,0,0.0,0,0.0,0.0,0.0,1,5,1,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,5,1,3,2.0,1900.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,0,6,2009,WD ,131000
13,160,3,24.0,2645,1,1,3,1,1,1,1,25,3,3,4,4,8,5,1999,2000,2,1,9,9,2,456.0,4,3,3,4,3,1,6,813.0,1,0.0,147.0,960.0,1,5,1,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,0,6.0,2000.0,1,2.0,480.0,3,3,3,169,0,0,0,0,0,0,0,12,2008,ConLD,200000
14,20,6,74.0,9627,1,0,3,1,1,1,1,6,3,3,1,1,7,5,2007,2007,2,1,13,13,3,0.0,4,3,3,4,3,3,6,24.0,1,0.0,1327.0,1351.0,1,5,1,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,0,2.0,2007.0,2,2.0,610.0,3,3,3,0,50,0,0,0,0,0,0,6,2008,WD ,193000
15,20,6,93.0,10114,1,0,3,1,1,1,1,15,3,3,1,1,5,5,2004,2005,2,1,13,13,3,0.0,3,3,3,5,3,3,1,0.0,1,0.0,1430.0,1430.0,1,5,1,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,0,2.0,2004.0,2,2.0,624.0,3,3,3,0,0,0,0,0,0,0,0,3,2010,WD ,173500
16,70,8,34.0,4571,1,2,3,1,1,1,1,21,3,3,1,4,5,5,1916,1950,2,1,1,1,3,0.0,3,3,1,3,3,1,1,0.0,1,0.0,624.0,624.0,1,2,0,5,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,8,0,0,6.0,1916.0,1,3.0,513.0,2,2,3,0,0,96,0,0,0,0,0,5,2008,COD,98000
17,20,6,80.0,8816,1,0,3,1,1,2,1,23,2,3,1,1,5,6,1963,1963,2,1,13,13,3,0.0,3,3,3,3,3,1,3,651.0,1,0.0,470.0,1121.0,1,3,1,5,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,0,6.0,1963.0,1,2.0,480.0,3,3,3,0,80,0,0,0,3,0,0,6,2009,WD ,139000
