,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Neighborhood,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,TotRms AbvGrd,Functional,Garage Type,Paved Drive,Wood Deck SF,Sale Type,SalePrice,Overall Qual Cond,Exter Qual Cond,Bsmt,Kitchen and Qual,Fireplaces and Qual,Garage,Porch total,Age,HeatingMod
0,60,RL,0.0,13517,Pave,None,Sawyer,2005,HdBoard,Plywood,BrkFace,289.0,CBlock,725,754,0,1479,0.0,0.0,2,6,8,Attchd,Y,0,WD ,130500,48,12,11451.0,4,0,17100.0,44,34,1.512490683845176
1,60,RL,43.0,11492,Pave,None,SawyerW,1997,VinylSd,VinylSd,BrkFace,132.0,PConc,913,1209,0,2122,1.0,0.0,2,8,8,Attchd,Y,0,WD ,220000,35,12,18090.0,4,3,20124.0,74,13,1.512490683845176
2,20,RL,68.0,7922,Pave,None,NAmes,2007,VinylSd,VinylSd,None,0.0,CBlock,1057,0,0,1057,1.0,0.0,1,5,8,Detchd,Y,0,WD ,109000,35,12,16833.0,4,0,2214.0,52,57,0.9074944103071056
3,60,RL,73.0,9802,Pave,None,Timber,2007,VinylSd,VinylSd,None,0.0,PConc,744,700,0,1444,0.0,0.0,2,7,8,BuiltIn,Y,100,WD ,174000,25,9,9216.0,3,0,21600.0,0,4,1.2099925470761408
4,50,RL,82.0,14235,Pave,None,SawyerW,1993,Wd Sdng,Plywood,None,0.0,PConc,831,614,0,1445,0.0,0.0,2,6,8,Detchd,N,0,WD ,138500,48,9,10816.0,3,0,8712.0,59,110,0.9074944103071056
5,20,RL,137.0,16492,Pave,None,NAmes,2002,BrkFace,Plywood,None,0.0,CBlock,1888,0,0,1888,0.0,0.0,2,6,5,Attchd,Y,0,WD ,190000,36,12,22040.0,4,4,31212.0,0,44,1.512490683845176
6,180,RM,35.0,3675,Pave,None,Edwards,2006,VinylSd,VinylSd,BrkFace,82.0,PConc,1072,0,0,1072,1.0,0.0,2,5,8,Basment,Y,0,New,140000,30,9,29538.0,3,0,28350.0,44,1,1.2099925470761408
7,20,RL,0.0,12160,Pave,None,NAmes,1959,Plywood,Plywood,BrkFace,180.0,CBlock,1188,0,0,1188,1.0,0.0,1,6,8,Attchd,Y,0,COD,142000,25,9,15384.0,3,0,19116.0,0,51,0.6049962735380704
8,20,RL,0.0,15783,Pave,None,OldTown,1952,Wd Sdng,Wd Sdng,None,0.0,CBlock,924,0,0,924,0.0,0.0,1,6,8,Detchd,Y,0,WD ,112500,25,9,14880.0,3,0,3780.0,324,55,0.9074944103071056
9,60,RL,70.0,11606,Pave,None,NAmes,1969,Plywood,Plywood,BrkFace,192.0,PConc,1040,1040,0,2080,0.0,1.0,1,9,8,Attchd,Y,335,WD ,135000,25,9,53430.0,2,6,9072.0,0,38,0.9074944103071056
10,160,RM,21.0,1680,Pave,None,BrDale,1971,HdBoard,HdBoard,BrkFace,232.0,CBlock,483,504,0,987,0.0,0.0,1,4,8,Detchd,Y,0,COD,85400,30,9,7146.0,3,0,2376.0,0,37,0.9074944103071056
11,20,RL,64.0,7488,Pave,None,CollgCr,2005,VinylSd,VinylSd,None,0.0,PConc,1208,0,0,1208,0.0,0.0,2,6,8,Attchd,Y,105,WD ,183600,35,12,75186.0,4,0,22752.0,58,1,1.512490683845176
12,70,RL,120.0,26400,Pave,None,SawyerW,2007,HdBoard,HdBoard,None,0.0,PConc,1288,728,0,2016,0.0,0.0,1,7,5,Attchd,P,0,WD ,131000,35,12,0.0,3,3,10368.0,0,129,1.512490683845176
