,Date,Species,Trap,Latitude,Longitude,Block,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Trange,relative_humidity,Year,Month,Week,Day
0,2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,22,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
1,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41,9,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
2,2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,79,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
3,2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,11,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
4,2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,21,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
5,2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,22,8,2,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
6,2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,22,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
7,2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,53,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
8,2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,65,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
9,2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,75,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
10,2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,41,9,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
11,2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,62,9,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
12,2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,79,8,4,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
13,2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,15,8,2,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
14,2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,25,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
15,2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,11,8,2,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
16,2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,11,8,1,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
17,2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,22,8,3,0,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95,25.5,63,2007,5,22,29
